date,pnl
2021-11-24,-0.001151131575672521
2021-11-25,0.0
2021-11-26,0.0
2021-11-29,-0.003129505256865524
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,-0.001792490408603992
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.00014840465001234455
2021-12-23,0.0010877862595420802
2021-12-27,-0.0010374941359027922
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-10,-0.0012824000310884239
2022-01-11,0.0
2022-01-12,0.0
